landscape_id,initial_strategy,r,reveal_fraction,prior_to_oracle,uniform_to_oracle,stay_to_oracle,prior_minus_uniform
0.0,random,0.0,0.0,0.8531560199204052,0.2468788911679689,0.24195708493970228,1.0499174613021542
0.0,random,1.0,0.125,0.881814967827967,0.2738959507113963,0.24249204255346332,1.0554055206057487
0.0,random,2.0,0.25,0.9031178895715682,0.31261437886073284,0.24131133852151634,1.021060287710773
0.0,random,3.0,0.375,0.9298501416038697,0.35583122063725,0.24302911037516287,0.993791551249935
0.0,random,4.0,0.5,0.9540223861553132,0.41298301749281496,0.24351371080807677,0.9384309587313202
0.0,random,5.0,0.625,0.9715386221349254,0.45330670318678273,0.24338893825257293,0.8975321076555539
0.0,random,6.0,0.75,0.9823246521186613,0.48261923748779867,0.24301516206719626,0.8625597869572713
0.0,random,7.0,0.875,0.9856818135060225,0.4930678466233026,0.24371801567637064,0.8538812850855126
0.0,random,8.0,1.0,0.986632471100092,0.49826610392359694,0.2419052822688239,0.8435978582228404
0.0,highest_mu,0.0,0.0,0.8637284242214094,0.27854209512053135,1.4402676089043496,0.6285279767768785
0.0,highest_mu,1.0,0.125,0.870547119181802,0.3152455706680955,1.4301957265483896,0.5975264163836882
0.0,highest_mu,2.0,0.25,0.8786836405807306,0.35398359918064853,1.4337594637127888,0.5651111979103074
0.0,highest_mu,3.0,0.375,0.8904104671493706,0.4111989492130259,1.4314136976594052,0.5154424707812661
0.0,highest_mu,4.0,0.5,0.9055277281466618,0.4752058621125022,1.4372289365335242,0.4625517565834656
0.0,highest_mu,5.0,0.625,0.9169217708339406,0.5335389631182833,1.4313698758870204,0.4115875782886703
0.0,highest_mu,6.0,0.75,0.9249610116575323,0.5694620057427383,1.4206513516198145,0.3820833169970974
0.0,highest_mu,7.0,0.875,0.9296499584471083,0.5890243406970033,1.4305876795824595,0.3662129119095805
0.0,highest_mu,8.0,1.0,0.9296250154658955,0.5909750503821747,1.437990311227923,0.3647623931716236
0.0,lowest_mu,0.0,0.0,0.8481269214815279,0.26009464301391594,0.011489737272123388,1.0666645780574933
0.0,lowest_mu,1.0,0.125,0.8777340968898516,0.2851546454320643,0.011886602152260029,1.073415178679833
0.0,lowest_mu,2.0,0.25,0.9110288127527602,0.3309744952228551,0.011575510349559425,1.052776603327283
0.0,lowest_mu,3.0,0.375,0.9363349026952926,0.37502889617433616,0.011710970596905112,1.0159829057540304
0.0,lowest_mu,4.0,0.5,0.9631177491823102,0.4188806083920956,0.012421702879763413,0.9882575272293526
0.0,lowest_mu,5.0,0.625,0.9790003009386687,0.4522373164272519,0.011550978851196986,0.9552253278243624
0.0,lowest_mu,6.0,0.75,0.9870185931110362,0.46446499187890417,0.011546147899906826,0.9470424651617616
0.0,lowest_mu,7.0,0.875,0.9887127841208627,0.474523894853128,0.012025442736036321,0.9304948843129175
0.0,lowest_mu,8.0,1.0,0.989116394029425,0.4733229250367363,0.011621604261972387,0.9324326333109125
1.0,random,0.0,0.0,0.6630886425370254,0.2416771469807128,0.23845873834828077,0.7786002217711003
1.0,random,1.0,0.125,0.6976085699751734,0.2718070541666606,0.23452553813639254,0.7927074425190698
1.0,random,2.0,0.25,0.7410618596448281,0.3112214455403158,0.23873984221292832,0.8011193020156068
1.0,random,3.0,0.375,0.7832022972293293,0.3528814037103057,0.24004122153789498,0.8017005429393599
1.0,random,4.0,0.5,0.8325378813101849,0.40858636948381216,0.23950232998083645,0.7845201595838484
1.0,random,5.0,0.625,0.8717730388132902,0.4558753457067652,0.24132691391891764,0.7699263755771287
1.0,random,6.0,0.75,0.8889952289466136,0.4861019450245981,0.2386443395877848,0.7470875534098231
1.0,random,7.0,0.875,0.9002248018643885,0.5031861551171177,0.23918619145271794,0.7341774356920525
