repeat,k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
0.0,5.0,0.0,30000.0,lowest_mu,high_mu_zero,oracle_best_switch,3.69345,0.09999999999999999,0.0,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,uniform_zero,stay,0.9273333333333333,0.9396100000000001,0.9981333333333333,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,uniform_zero,uniform_switch,1.2427333333333332,0.9396100000000001,0.9981333333333333,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,uniform_zero,prior_best_switch,2.7392,0.9396100000000001,0.9981333333333333,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,uniform_zero,oracle_best_switch,3.1314,0.9396100000000001,0.9981333333333333,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,low_mu_zero,stay,0.94615,0.9420666666666668,0.9984666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,low_mu_zero,uniform_switch,1.2422166666666667,0.9420666666666668,0.9984666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,low_mu_zero,prior_best_switch,2.667133333333333,0.9420666666666668,0.9984666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,low_mu_zero,oracle_best_switch,3.1088833333333334,0.9420666666666668,0.9984666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,high_mu_zero,stay,0.94045,0.9416966666666668,0.998,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,high_mu_zero,uniform_switch,1.2429833333333333,0.9416966666666668,0.998,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,high_mu_zero,prior_best_switch,2.8374,0.9416966666666668,0.998,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,random,high_mu_zero,oracle_best_switch,3.1212,0.9416966666666668,0.998,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,uniform_zero,stay,3.192266666666667,3.2,0.9998666666666667,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,uniform_zero,uniform_switch,0.5028666666666667,3.2,0.9998666666666667,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,uniform_zero,prior_best_switch,0.7333333333333333,3.2,0.9998666666666667,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,uniform_zero,oracle_best_switch,1.3176666666666668,3.2,0.9998666666666667,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,low_mu_zero,stay,3.1886666666666668,3.2,0.9998,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,low_mu_zero,uniform_switch,0.5080166666666667,3.2,0.9998,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,low_mu_zero,prior_best_switch,0.6019333333333333,3.2,0.9998,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,low_mu_zero,oracle_best_switch,1.3311666666666666,3.2,0.9998,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,high_mu_zero,stay,3.2049333333333334,3.2,0.9996,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,high_mu_zero,uniform_switch,0.49411666666666665,3.2,0.9996,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,high_mu_zero,prior_best_switch,0.9640666666666666,3.2,0.9996,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,highest_mu,high_mu_zero,oracle_best_switch,1.33415,3.2,0.9996,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,uniform_zero,stay,0.09873333333333334,0.09999999999999999,0.9974666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,uniform_zero,uniform_switch,1.5247166666666667,0.09999999999999999,0.9974666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,uniform_zero,prior_best_switch,3.2372,0.09999999999999999,0.9974666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,uniform_zero,oracle_best_switch,3.6954333333333333,0.09999999999999999,0.9974666666666666,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,low_mu_zero,stay,0.09826666666666667,0.09999999999999999,0.9977,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,low_mu_zero,uniform_switch,1.5411666666666666,0.09999999999999999,0.9977,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,low_mu_zero,prior_best_switch,3.204466666666667,0.09999999999999999,0.9977,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,low_mu_zero,oracle_best_switch,3.7125666666666666,0.09999999999999999,0.9977,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,high_mu_zero,stay,0.09763333333333334,0.09999999999999999,0.9976,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,high_mu_zero,uniform_switch,1.5242333333333333,0.09999999999999999,0.9976,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,high_mu_zero,prior_best_switch,3.3192666666666666,0.09999999999999999,0.9976,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,1.0,30000.0,lowest_mu,high_mu_zero,oracle_best_switch,3.69715,0.09999999999999999,0.9976,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,uniform_zero,stay,0.93805,0.9333033333333334,1.9555666666666667,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,uniform_zero,uniform_switch,1.8215,0.9333033333333334,1.9555666666666667,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,uniform_zero,prior_best_switch,2.841816666666667,0.9333033333333334,1.9555666666666667,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,uniform_zero,oracle_best_switch,3.13935,0.9333033333333334,1.9555666666666667,0.09999999999999998,3.2,0.9400000000000002
0.0,5.0,2.0,30000.0,random,low_mu_zero,stay,0.93545,0.9389766666666668,1.9531,0.09999999999999998,3.2,0.9400000000000002
