k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
5.0,1.0,40000.0,random,low_mu_zero,uniform_switch,2.508025,1.9029725,0.98635,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,random,low_mu_zero,prior_best_switch,3.24315,1.9029725,0.98635,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,random,low_mu_zero,oracle_best_switch,4.926625,1.9029725,0.98635,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,random,high_mu_zero,stay,1.891875,1.9051200000000001,0.986475,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,random,high_mu_zero,uniform_switch,2.50805,1.9051200000000001,0.986475,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,random,high_mu_zero,prior_best_switch,3.501225,1.9051200000000001,0.986475,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,random,high_mu_zero,oracle_best_switch,4.9191,1.9051200000000001,0.986475,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,uniform_zero,stay,3.5981,3.6,0.995875,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,uniform_zero,uniform_switch,1.976275,3.6,0.995875,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,uniform_zero,prior_best_switch,2.05685,3.6,0.995875,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,uniform_zero,oracle_best_switch,4.448625,3.6,0.995875,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,low_mu_zero,stay,3.6081,3.6,0.99685,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,low_mu_zero,uniform_switch,1.943625,3.6,0.99685,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,low_mu_zero,prior_best_switch,1.823925,3.6,0.99685,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,low_mu_zero,oracle_best_switch,4.415425,3.6,0.99685,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,high_mu_zero,stay,3.5858,3.6,0.9966,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,high_mu_zero,uniform_switch,1.979625,3.6,0.9966,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,high_mu_zero,prior_best_switch,2.4275,3.6,0.9966,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,highest_mu,high_mu_zero,oracle_best_switch,4.425675,3.6,0.9966,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,uniform_zero,stay,1.006,0.9999999999999998,0.968575,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,uniform_zero,uniform_switch,2.782,0.9999999999999998,0.968575,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,uniform_zero,prior_best_switch,3.67955,0.9999999999999998,0.968575,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,uniform_zero,oracle_best_switch,4.910975,0.9999999999999998,0.968575,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,low_mu_zero,stay,1.0185,0.9999999999999998,0.968275,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,low_mu_zero,uniform_switch,2.7585,0.9999999999999998,0.968275,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,low_mu_zero,prior_best_switch,3.607,0.9999999999999998,0.968275,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,low_mu_zero,oracle_best_switch,4.90815,0.9999999999999998,0.968275,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,high_mu_zero,stay,1.0255,0.9999999999999998,0.96735,0.9999999999999998,3.6,1.9
5.0,1.0,40000.0,lowest_mu,high_mu_zero,uniform_switch,2.7985,0.9999999999999998,0.96735,0.9999999999999998,3.6,1.9
