k,r,trials,initial_strategy,monty_policy,switch_strategy,empirical_reward,chosen_initial_mu,opened_count,prior_mu_min,prior_mu_max,prior_mu_mean
5.0,1.0,60000.0,random,uniform_zero,uniform_switch,1.2421083333333334,0.9386366666666668,0.9983166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,uniform_zero,prior_best_switch,2.745633333333333,0.9386366666666668,0.9983166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,uniform_zero,oracle_best_switch,3.1237916666666665,0.9386366666666668,0.9983166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,low_mu_zero,stay,0.9451666666666667,0.9445783333333334,0.9982166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,low_mu_zero,uniform_switch,1.2517333333333334,0.9445783333333334,0.9982166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,low_mu_zero,prior_best_switch,2.6793666666666667,0.9445783333333334,0.9982166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,low_mu_zero,oracle_best_switch,3.1286833333333335,0.9445783333333334,0.9982166666666666,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,high_mu_zero,stay,0.9486166666666667,0.9432516666666667,0.99815,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,high_mu_zero,uniform_switch,1.2425916666666668,0.9432516666666667,0.99815,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,high_mu_zero,prior_best_switch,2.836866666666667,0.9432516666666667,0.99815,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,random,high_mu_zero,oracle_best_switch,3.1269,0.9432516666666667,0.99815,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,uniform_zero,stay,3.1930666666666667,3.2,0.9998166666666667,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,uniform_zero,uniform_switch,0.5034083333333333,3.2,0.9998166666666667,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,uniform_zero,prior_best_switch,0.7389333333333333,3.2,0.9998166666666667,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,uniform_zero,oracle_best_switch,1.3263083333333334,3.2,0.9998166666666667,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,low_mu_zero,stay,3.2,3.2,0.9997333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,low_mu_zero,uniform_switch,0.506475,3.2,0.9997333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,low_mu_zero,prior_best_switch,0.6068,3.2,0.9997333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,low_mu_zero,oracle_best_switch,1.3313416666666666,3.2,0.9997333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,high_mu_zero,stay,3.2043333333333335,3.2,0.9997333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,high_mu_zero,uniform_switch,0.49490833333333334,3.2,0.9997333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,high_mu_zero,prior_best_switch,0.9509666666666666,3.2,0.9997333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,highest_mu,high_mu_zero,oracle_best_switch,1.3171416666666667,3.2,0.9997333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,uniform_zero,stay,0.09985,0.09999999999999999,0.9975333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,uniform_zero,uniform_switch,1.51895,0.09999999999999999,0.9975333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,uniform_zero,prior_best_switch,3.2404,0.09999999999999999,0.9975333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,uniform_zero,oracle_best_switch,3.6914583333333333,0.09999999999999999,0.9975333333333334,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,low_mu_zero,stay,0.09966666666666667,0.09999999999999999,0.99765,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,low_mu_zero,uniform_switch,1.5362666666666667,0.09999999999999999,0.99765,0.09999999999999998,3.2,0.9400000000000002
5.0,1.0,60000.0,lowest_mu,low_mu_zero,prior_best_switch,3.1957666666666666,0.09999999999999999,0.99765,0.09999999999999998,3.2,0.9400000000000002
