landscape_id,initial_strategy,r,reveal_fraction,prior_to_oracle,uniform_to_oracle,stay_to_oracle,prior_minus_uniform
0.0,random,0.0,0.0,0.8018364193651756,0.2610500244501555,0.26093913234317584,2.7760166704958396
0.0,random,1.0,0.125,0.8414367140696242,0.292728792380361,0.2607662271461485,2.8171210564322005
0.0,random,2.0,0.25,0.8832779051119521,0.33218390119219077,0.26113123583902464,2.830024211588947
0.0,random,3.0,0.375,0.9223895708811031,0.3728788136163372,0.26054117925293113,2.8203031331931223
0.0,random,4.0,0.5,0.953535916066473,0.40919044195205595,0.2605150917068784,2.7953895776497064
0.0,random,5.0,0.625,0.9723026666247918,0.4337707054619458,0.2613132213298579,2.7648016087012137
0.0,random,6.0,0.75,0.9800898614253122,0.4452816911509821,0.2609572744702779,2.7449509798612746
0.0,random,7.0,0.875,0.9821742591885643,0.44987842133679784,0.2606271840105269,2.7325467577259754
0.0,random,8.0,1.0,0.9824856827328451,0.4501153886613105,0.26080287276493447,2.7322045918813678
0.0,highest_mu,0.0,0.0,0.782472243510324,0.27229578447489894,1.143702595025862,1.8982461737872829
0.0,highest_mu,1.0,0.125,0.8046483578386062,0.30662265140256884,1.1429747761430622,1.8531108488011168
0.0,highest_mu,2.0,0.25,0.8328883030995611,0.3473831805134213,1.141954339172545,1.8071395570212836
0.0,highest_mu,3.0,0.375,0.8636490692750182,0.3921446758040557,1.1433162955172187,1.75538257456285
0.0,highest_mu,4.0,0.5,0.8911664540405987,0.43305022243101876,1.1412573849764878,1.7050816735358385
0.0,highest_mu,5.0,0.625,0.9093960252401396,0.46114547118547056,1.1427286773679057,1.6684945176684869
0.0,highest_mu,6.0,0.75,0.917985040741086,0.4755483763503781,1.143446615785678,1.6468167626321621
0.0,highest_mu,7.0,0.875,0.9205028226676091,0.48148811862765656,1.1424834907132162,1.633692454987225
0.0,highest_mu,8.0,1.0,0.9206939377531589,0.4819720259735668,1.1423768310224192,1.6334066575928776
0.0,lowest_mu,0.0,0.0,0.7961170842030293,0.2726398564275411,0.053088018400888996,2.7933944504991013
0.0,lowest_mu,1.0,0.125,0.8386780532940145,0.30604719120969787,0.053006538560552034,2.8424887444069764
