landscape_id,initial_strategy,r,reveal_fraction,prior_to_oracle,uniform_to_oracle,stay_to_oracle,prior_minus_uniform
0.0,random,0.0,0.0,0.8020765313960241,0.2629219984754774,0.2596117761726067,2.767295794322635
0.0,random,1.0,0.125,0.8420496250983499,0.29431908147655433,0.25991915757579787,2.8108898130616398
0.0,random,2.0,0.25,0.8836399568406094,0.33219076357461097,0.2583278662615703,2.836999240281375
0.0,random,3.0,0.375,0.9224057872203482,0.3717511187568098,0.2622562887335292,2.8228575503516486
0.0,random,4.0,0.5,0.953806100838715,0.4108548807575594,0.2612716584590877,2.788965715741885
0.0,random,5.0,0.625,0.9716553388016996,0.43196703685814775,0.2584278389759892,2.773785993897509
0.0,random,6.0,0.75,0.9803477256805813,0.4463733439377173,0.2614385796028122,2.7379265714649663
0.0,random,7.0,0.875,0.9818779169752624,0.45095691091882834,0.26103364528146233,2.726182285787334
0.0,random,8.0,1.0,0.9821246033090865,0.4498468493522266,0.2609734385960221,2.7326195306625936
0.0,highest_mu,0.0,0.0,0.7810446621694138,0.2750464859807041,1.1475489056417822,1.8831948344012972
0.0,highest_mu,1.0,0.125,0.8024969404484585,0.30375378066696385,1.1493758886414982,1.855240248555215
0.0,highest_mu,2.0,0.25,0.8336996521203408,0.3426268775137242,1.146684027334647,1.8273965110208212
0.0,highest_mu,3.0,0.375,0.8650980582214947,0.39017376886086813,1.1458678246876455,1.7665724797420224
0.0,highest_mu,4.0,0.5,0.8914202411419985,0.4323113645947916,1.1475971401614578,1.7068518335116516
0.0,highest_mu,5.0,0.625,0.9089828257026717,0.4586020169541463,1.1387290707209037,1.6750165049947496
0.0,highest_mu,6.0,0.75,0.9176944432754829,0.4756414659641087,1.1431587631740412,1.6454121488903797
0.0,highest_mu,7.0,0.875,0.920828721820951,0.47681994307157943,1.1407210786008921,1.6548217332702582
0.0,highest_mu,8.0,1.0,0.9209637802334882,0.48283146576006397,1.1408111737576723,1.6303318080981646
0.0,lowest_mu,0.0,0.0,0.7946549430761355,0.2754616772743565,0.05306874388832446,2.764521692164542
0.0,lowest_mu,1.0,0.125,0.8402719397037114,0.3088192751570286,0.052365523668295014,2.842162837558324
0.0,lowest_mu,2.0,0.25,0.8809756072365377,0.34432916745151865,0.05322088774157356,2.858964353894196
0.0,lowest_mu,3.0,0.375,0.9207737020363984,0.39094442192504925,0.05333057091417024,2.822696814001449
0.0,lowest_mu,4.0,0.5,0.9553361167355776,0.4288029537083526,0.05336144587421819,2.8121545250919877
0.0,lowest_mu,5.0,0.625,0.9735127664334302,0.45307458857568556,0.05311158414348831,2.76842010994392
0.0,lowest_mu,6.0,0.75,0.981991175407248,0.46358781101240537,0.05352480972899026,2.769580868584585
0.0,lowest_mu,7.0,0.875,0.9836717076641982,0.46529262835667745,0.05293913136514132,2.7659548543838453
0.0,lowest_mu,8.0,1.0,0.9839804586438653,0.46835775669800805,0.053019756743347045,2.756399108825708
1.0,random,0.0,0.0,0.6554984793149823,0.2622102428763753,0.26213005392641053,0.6471993537090113
1.0,random,1.0,0.125,0.7203666252735453,0.29514928233715865,0.2595287839729932,0.7026620391009892
1.0,random,2.0,0.25,0.7847254339118409,0.3375070126318829,0.26086171908591255,0.7360803135333361
1.0,random,3.0,0.375,0.8521137840786206,0.3832702858672736,0.2589856453791679,0.7729635981133892
1.0,random,4.0,0.5,0.9171838989493568,0.4308262370494248,0.2608915923515332,0.8020609405209537
1.0,random,5.0,0.625,0.9630137493118253,0.4718758427421945,0.26026784900317035,0.8090557529332475
1.0,random,6.0,0.75,0.9865010135466477,0.4979462127070206,0.26299529182519354,0.8052738719566682
1.0,random,7.0,0.875,0.993462449677317,0.5063856640660833,0.2626301240051669,0.8009863302872063
1.0,random,8.0,1.0,0.9947451280207199,0.5070147062104964,0.264428219041114,0.8021261240031202
1.0,highest_mu,0.0,0.0,0.7044672719405836,0.28145017750600954,0.8611064181155088,0.5411500543027571
1.0,highest_mu,1.0,0.125,0.7531784708208341,0.31778145271466485,0.8610615954923785,0.5552901895408636
1.0,highest_mu,2.0,0.25,0.8095905823206392,0.3585790865972945,0.8600597059631164,0.5763858436550584
1.0,highest_mu,3.0,0.375,0.8704882944178197,0.41143222396999846,0.8681171701587717,0.5867839748738616
1.0,highest_mu,4.0,0.5,0.9230078712282831,0.46512589798344645,0.860329850240366,0.5852419977610134
1.0,highest_mu,5.0,0.625,0.9604704102438258,0.50660865557858,0.8669226562395468,0.5801049304574292
1.0,highest_mu,6.0,0.75,0.9816249066020613,0.5337799528355761,0.8571271807027596,0.5729504703187781
1.0,highest_mu,7.0,0.875,0.9877763770454734,0.54466251533403,0.8576201392402536,0.5667158691190199
1.0,highest_mu,8.0,1.0,0.9892271949770705,0.5461982863379977,0.8648273879262545,0.5659535311968765
1.0,lowest_mu,0.0,0.0,0.6512844717436984,0.27442387500208787,0.05842822841384401,0.6450802666651507
1.0,lowest_mu,1.0,0.125,0.7128848305329409,0.3069143117070792,0.05734988885200232,0.6934278988233409
1.0,lowest_mu,2.0,0.25,0.7826088689894967,0.3503404576703917,0.05880236033950014,0.7356695398703093
1.0,lowest_mu,3.0,0.375,0.8629013329922757,0.4001751959214284,0.05719008931101549,0.7912040267945492
1.0,lowest_mu,4.0,0.5,0.9278992845741106,0.44527501251440904,0.05832605650471045,0.8228349260379572
1.0,lowest_mu,5.0,0.625,0.9706080787812958,0.4761303909094748,0.05823097213517397,0.8446830286540067
1.0,lowest_mu,6.0,0.75,0.9897546521871281,0.49691648490206863,0.05751652614137632,0.8405569624715606
1.0,lowest_mu,7.0,0.875,0.9960276947298563,0.5001014537887054,0.05797401351474504,0.8472115883524973
1.0,lowest_mu,8.0,1.0,0.9964920861923641,0.5033173092465841,0.05766119905772193,0.8427208542855633
2.0,random,0.0,0.0,0.8163108070245066,0.18330919175784743,0.18193887608304515,3.108040449767469
2.0,random,1.0,0.125,0.8527830767974603,0.2028071548275129,0.1838767470861779,3.1874042821005983
2.0,random,2.0,0.25,0.892894738773923,0.22991799700180854,0.17912351604199694,3.2708776500305605
2.0,random,3.0,0.375,0.9311372741096193,0.2575952840389021,0.18248408000534497,3.3079347046143344
2.0,random,4.0,0.5,0.9612430303757942,0.2762242392542286,0.17795688864242612,3.3865954444081936
2.0,random,5.0,0.625,0.9719671954779576,0.28796368579872206,0.18025709903215362,3.368087724073569
2.0,random,6.0,0.75,0.9754283461303056,0.2931037694247123,0.18336128059787066,3.3646999120874685
2.0,random,7.0,0.875,0.9760130641585198,0.29272012821999654,0.18046513648704054,3.3497262657117455
2.0,random,8.0,1.0,0.9758791249376246,0.2887062243148007,0.18137862864954288,3.386094883159436
2.0,highest_mu,0.0,0.0,0.6102608442527033,0.2216617725517936,1.8527711094535018,0.9069939250779558
2.0,highest_mu,1.0,0.125,0.6703664998613189,0.24866343918114678,1.8387138639955343,0.9812012973910368
2.0,highest_mu,2.0,0.25,0.746414653600894,0.28287662287932774,1.8520559581872988,1.0755374834917597
2.0,highest_mu,3.0,0.375,0.8100177974507917,0.31092605048444266,1.8582971556757057,1.1627977887573355
2.0,highest_mu,4.0,0.5,0.8521914063949679,0.33367728674493413,1.8529537416995634,1.2003965962739889
2.0,highest_mu,5.0,0.625,0.8702970204216701,0.3484397344783646,1.8573874830298767,1.2102596460231405
2.0,highest_mu,6.0,0.75,0.8722817171892375,0.34825450266217634,1.857159075670054,1.2186102780620423
2.0,highest_mu,7.0,0.875,0.8745256045411641,0.3518363049520172,1.8530571754235212,1.2164680265515435
2.0,highest_mu,8.0,1.0,0.8726149098378452,0.35293683051537883,1.8586579100407004,1.2041089417265542
2.0,lowest_mu,0.0,0.0,0.8183738119034202,0.18726531256002102,0.00036514651878356423,3.319791280730263
2.0,lowest_mu,1.0,0.125,0.8584341788418638,0.20792094236459277,0.000329425612620611,3.413620206231143
2.0,lowest_mu,2.0,0.25,0.9089320256440647,0.23179789574511522,0.0003059683405952976,3.5600569413438112
2.0,lowest_mu,3.0,0.375,0.9472322130374944,0.2544132190546965,0.000436503415720941,3.6202592583937516
2.0,lowest_mu,4.0,0.5,0.9674264076404325,0.26674451598482823,0.0003390387886103765,3.671868794937355
2.0,lowest_mu,5.0,0.625,0.9755847873188976,0.26899805749117295,0.00041583886246081964,3.7124936844222036
2.0,lowest_mu,6.0,0.75,0.976412362830449,0.27353403412151667,0.0003750672039707205,3.6895112864771207
2.0,lowest_mu,7.0,0.875,0.977219037405729,0.2705334408938629,0.00038292139058420315,3.722029636775928
2.0,lowest_mu,8.0,1.0,0.9776752438978227,0.2709605916190069,0.0003915101194597266,3.7272067460927882
3.0,random,0.0,0.0,0.8858300587833332,0.20449066071287247,0.20837789387022354,1.5804080988853113
3.0,random,1.0,0.125,0.8994755150270711,0.23618619661213458,0.20473386640035104,1.5402378667830252
3.0,random,2.0,0.25,0.9169546160572598,0.26864439149030284,0.21035995353868445,1.4995881967572107
3.0,random,3.0,0.375,0.9384574148981168,0.3074340826347528,0.2110495572836415,1.4614896001413675
3.0,random,4.0,0.5,0.9627525116942318,0.35054246462053845,0.20726805896720157,1.4209934093754297
3.0,random,5.0,0.625,0.9822679018664489,0.3973551588384056,0.21185431232131213,1.3556419917577545
3.0,random,6.0,0.75,0.9938039513080744,0.4227518448046314,0.2069656145591796,1.3269426653559298
3.0,random,7.0,0.875,0.9981076666792512,0.43778504225203235,0.209273924768144,1.3002713150225342
3.0,random,8.0,1.0,0.9991674357823255,0.43756303512841005,0.20258239959998123,1.3086076559365127
3.0,highest_mu,0.0,0.0,0.498862742505573,0.24078796287365606,1.834456558076886,0.3116806587122674
3.0,highest_mu,1.0,0.125,0.5717865452312727,0.26593645351288353,1.8468681070590969,0.3681963498564836
3.0,highest_mu,2.0,0.25,0.6607284755867145,0.30607755134566406,1.8347540098859603,0.42756974249251584
3.0,highest_mu,3.0,0.375,0.7563227987401813,0.3590508043480641,1.855162672952374,0.47736099813347393
3.0,highest_mu,4.0,0.5,0.8554313593635231,0.40886666378369657,1.844966306293877,0.5390203803155611
3.0,highest_mu,5.0,0.625,0.9334012645936252,0.467846342582844,1.841519649868927,0.5626207424769134
3.0,highest_mu,6.0,0.75,0.9770623559792384,0.5070521432360925,1.8341262027513936,0.5678822989626189
3.0,highest_mu,7.0,0.875,0.991815298105215,0.5257013917022036,1.8326629068770095,0.5631783384387842
3.0,highest_mu,8.0,1.0,0.9954957896657012,0.5375509481888489,1.8347748489949702,0.553730835015488
3.0,lowest_mu,0.0,0.0,0.8983773259353742,0.22007249416275979,0.008796735413773847,1.659954815186775
3.0,lowest_mu,1.0,0.125,0.9140803310732246,0.24228268318271118,0.008695069768596188,1.6495207791312105
3.0,lowest_mu,2.0,0.25,0.9303553219506399,0.27941850673826957,0.008746825886033444,1.5972592651719393
3.0,lowest_mu,3.0,0.375,0.9511608660659283,0.3194163115597963,0.008665794698533132,1.5497404709225764
3.0,lowest_mu,4.0,0.5,0.9725475340712788,0.36465495034365064,0.008938696372299302,1.4944161755455752
3.0,lowest_mu,5.0,0.625,0.9876550991351211,0.3953957283090194,0.008470985039786421,1.4565427259957753
3.0,lowest_mu,6.0,0.75,0.9960615330876051,0.41670387187430363,0.008593543832597375,1.4233747648501074
3.0,lowest_mu,7.0,0.875,0.9989801958687511,0.4181589862396519,0.008700417973375184,1.4252620877136062
3.0,lowest_mu,8.0,1.0,0.9995112105543129,0.4232468718944659,0.008956544406780533,1.4152257817861964
